id,正體,簡體,聲母,韻母,聲調,詞例,讀音說明,備註（含义）,声母音标,韵母音标
169,流,流,l,ieu,2,流氓,,,l,iəɯ
170,路,路,l,v,6,大路,,,l,ʋ
171,級,级,j,ieh,7,級別,,,tɕ,iəʔ
172,少,少,sh,o,3,多少,,,ʂ,ɔ
173,少,少,sh,o,5,少年,,,ʂ,ɔ
174,圖,图,t,v,2,圖書,,,tʰ,ʋ
175,山,山,sh,aen,1,山水,,,ʂ,ɛ̃
176,統,统,t,on,3,統一,,,tʰ,ɔŋ
177,接,接,j,ih,7,接待,,,tɕ,iʔ
178,知,知,zh,r,1,知識,,,tʂ,ʅ
179,較,较,j,io,5,比較,文讀,,tɕ,iɔ
180,較,较,g,o,5,,白讀,,k,ɔ
181,將,将,j,ian,1,將軍,,,tɕ,iaŋ
182,將,将,j,ian,5,大將,,,tɕ,iaŋ
183,將,将,q,ian,1,將進酒,,請求,tɕʰ,iaŋ
184,組,组,z,v,3,組織,,,ts,ʋ
185,見,见,j,in,5,看見,,,tɕ,ĩ
186,見,见,x,in,6,,,舉薦，介紹，棺木上的裝飾,ɕ,ĩ
187,計,计,j,i,5,計算,,,tɕ,i
188,別,别,p,ih,8,分別，離別,,,pʰ,iʔ
189,別,别,b,ih,7,別針,,,p,iʔ
190,她,她,t,a,1,,,代詞,tʰ,a
191,手,手,sh,eu,3,手足,,,ʂ,əɯ
192,角,角,g,ah,7,角度,,,k,aʔ
193,期,期,q,i,1,日期,,,tɕʰ,i
194,期,期,j,i,1,抓期，期年,,,tɕ,i
195,期,期,q,i,2,,qi1的本音,,tɕʰ,i
196,根,根,g,en,1,根本,,,k,əŋ
197,論,论,l,en,6,議論,,,l,əŋ
198,論,论,l,en,2,論語,,,l,əŋ
199,運,运,,yen,6,運動,,,,yəŋ
200,農,农,n,on,2,農民,,,n,ɔŋ
201,指,指,zh,r,3,指導,,,tʂ,ʅ
202,指,指,zh,eh,7,手指頭,,,tʂ,əʔ
203,幾,几,j,i,1,幾乎,,,tɕ,i
204,幾,几,j,i,3,幾個,,,tɕ,i
205,九,九,j,ieu,3,九天,,,tɕ,iəɯ
206,區,区,q,y,1,地區,,,tɕʰ,y
207,區,区,ng,eu,1,,,姓氏,ŋ,əɯ
208,強,强,q,ian,2,強烈,,,tɕʰ,iaŋ
209,強,强,q,ian,6,倔強,,,tɕʰ,iaŋ
211,放,放,f,an,5,放學,,,f,aŋ
212,放,放,f,an,3,,,依據，仿效,f,aŋ
213,決,决,j,iuh,7,決定,,,tɕ,iʊ?
214,決,决,x,iuh,7,,,迅速的樣子,ɕ,iʊ?
215,西,西,x,i,1,西方,,,ɕ,i
216,被,被,p,i,6,被單，被害,,,pʰ,i
217,被,被,p,ei,6,被害,又音,,pʰ,əi
