id,正體,簡體,聲母,韻母,聲調,詞例,讀音說明,備註（含义）,声母音标,韵母音标
1769,桌,桌,zh,uah,7,桌子,,,tʂ,uaʔ
1770,申,申,sh,en,1,申請,,,ʂ,əŋ
1771,遵,遵,z,uen,1,遵守,異讀,,ts,uəŋ
1772,遵,遵,j,yen,1,,本音,,tɕ,yəŋ
1773,允,允,,yen,3,允許,,,,yəŋ
1774,螺,螺,l,u,2,螺旋,,,l,ʊ
1775,螺,螺,l,u,1,泥螺,,,l,ʊ
1776,隆,隆,l,on,2,興隆,,,l,ɔŋ
1777,倉,仓,c,an,1,倉庫,,,tsʰ,aŋ
1778,魏,魏,v,ei,6,圍魏救趙,,,ʋ,əi
1779,曉,晓,x,io,3,春曉,,,ɕ,iɔ
1780,銳,锐,r,uei,6,銳利,,,ɻ,uəi
1781,征,征,zh,en,1,長征,,,tʂ,əŋ
1782,兼,兼,j,in,1,兼職,,,tɕ,ĩ
1783,氮,氮,t,aen,6,,,化學元素,tʰ,ɛ̃
1784,隱,隐,,ien,3,隱藏,,,,iəŋ
1785,隱,隐,,ien,5,倚靠,,,,iəŋ
1786,牆,墙,q,ian,2,牆壁,,,tɕʰ,iaŋ
1787,礙,碍,ng,ae,6,障礙,,,ŋ,ɛ
1788,赫,赫,h,eh,7,兆赫,,,x,əʔ
1789,忠,忠,zh,on,1,忠心,,,tʂ,ɔŋ
1790,撥,拨,b,uh,7,撥款,,,p,ʊʔ
1791,准,准,zh,uen,3,准許，准考證,,,tʂ,uəŋ
1792,肅,肃,s,oh,7,嚴肅,,,s,ɔʔ
1793,缸,缸,g,an,1,水缸,,,k,aŋ
1794,搶,抢,q,ian,3,搶劫,,,tɕʰ,iaŋ
1795,搶,抢,q,ian,1,呼天搶地,,,tɕʰ,iaŋ
1796,牽,牵,q,in,1,牽牛花,,,tɕʰ,ĩ
1797,博,博,b,ah,7,博士,,,p,aʔ
1798,巧,巧,q,io,3,巧妙,,,tɕʰ,iɔ
1799,兄,兄,x,ion,1,兄長,,,ɕ,iɔŋ
1800,杜,杜,t,v,6,杜鵑,,,tʰ,ʋ
1801,訊,讯,x,ien,5,訊息,,,ɕ,iəŋ
1802,誠,诚,ch,en,2,誠實,,,tʂʰ,əŋ
1803,碧,碧,b,ieh,7,碧綠,,,p,iəʔ
1804,祥,祥,q,ian,2,吉祥,,,tɕʰ,iaŋ
1805,頁,页,,ih,8,書頁,,,,iʔ
1806,巡,巡,q,yen,2,巡視,,,tɕʰ,yəŋ
1807,矩,矩,j,y,3,矩形,,,tɕ,y
1808,尋,寻,q,ien,2,尋錢,,,tɕʰ,iəŋ
1809,悲,悲,b,ei,1,悲傷,,,p,əi
1810,灌,灌,g,un,5,灌溉,,,k,ʊ̃
1811,齡,龄,l,ien,2,年齡,,,l,iəŋ
1812,倫,伦,l,en,2,倫理,,,l,əŋ
1813,票,票,p,io,5,車票,,,pʰ,iɔ
1814,桂,桂,g,uei,5,桂林,,,k,uəi
1815,聖,圣,sh,en,5,聖潔,,,ʂ,əŋ
1816,恰,恰,q,iaeh,7,恰好,,,tɕʰ,iɛʔ
1817,恐,恐,k,on,3,恐龍,,,kʰ,ɔŋ
1818,鄭,郑,ch,en,6,鄭重,,,tʂʰ,əŋ
1819,趣,趣,q,y,5,趣味,,,tɕʰ,y
1820,趣,趣,c,v,5,催促,,,tsʰ,ʋ
1821,抬,抬,t,ae,2,抬頭,,,tʰ,ɛ
1822,荒,荒,h,uan,1,荒地,,,x,uaŋ
1823,貼,贴,t,ih,7,補貼,,,tʰ,iʔ
1824,騰,腾,t,en,2,騰空,,,tʰ,əŋ
1825,柔,柔,r,eu,2,溫柔,,,ɻ,əɯ
1826,滴,滴,d,ieh,7,水滴,,,t,iəʔ
1827,呵,呵,h,u,1,呵護,,,x,ʊ
1828,猛,猛,m,on,3,猛烈,,,m,ɔŋ
1829,輛,辆,l,ian,3,車輛,,,l,iaŋ
1830,闊,阔,k,uh,7,寬闊,,,kʰ,ʊʔ
1831,勁,劲,j,ien,5,用勁,,,tɕ,iəŋ
1832,妻,妻,q,i,1,夫妻,,,tɕʰ,i
1833,妻,妻,q,i,5,動詞,,,tɕʰ,i
1834,填,填,t,in,2,填空,,,tʰ,ĩ
1835,撤,撤,ch,ih,7,撤退,,,tʂʰ,iʔ
1836,儲,储,ch,v,2,儲存,,,tʂʰ,ʋ
1837,舍,舍,sh,ae,5,宿舍,異讀,,ʂ,ɛ
1838,舍,舍,sh,a,5,蟹舍,白讀,,ʂ,a
1839,淺,浅,q,in,3,深淺,,,tɕʰ,ĩ
1840,淺,浅,j,in,1,淺淺，流水很急,,,tɕ,ĩ
1841,鬧,闹,n,o,6,鬧猛,,,n,ɔ
1842,擾,扰,r,o,3,打擾,,,ɻ,ɔ
1843,紫,紫,z,z,3,紫色,,,ts,ɿ
1844,讚,赞,z,aen,5,讚美,,,ts,ɛ̃
1845,砂,砂,sh,a,1,砂礫,,,ʂ,a
1846,戲,戏,x,i,5,遊戲,,,ɕ,i
1847,戲,戏,h,v,1,於戲,,,x,ʋ
1848,遞,递,t,i,6,郵遞,,,tʰ,i
1849,吊,吊,d,io,5,上吊,,,t,iɔ
1850,陶,陶,t,o,2,陶瓷,,,tʰ,ɔ
1851,陶,陶,,io,2,皋陶,,,,iɔ
1852,伐,伐,f,aeh,8,征伐,,,f,ɛʔ
1853,療,疗,l,io,2,療傷,,,l,iɔ
1854,瓶,瓶,p,ien,2,花瓶,,,pʰ,iəŋ
1855,婆,婆,p,u,2,公婆,,,pʰ,ʊ
1856,臂,臂,b,i,5,手臂,,,p,i
1857,撫,抚,f,v,3,撫摸,,,f,ʋ
1858,摸,摸,m,ah,8,摸底,,,m,aʔ
1859,忍,忍,r,en,3,忍耐,,,ɻ,əŋ
1860,蝦,虾,x,ia,1,龍蝦,文讀,,ɕ,ia
1861,蝦,虾,h,a,1,,xia1的白讀,,x,a
1862,水,水,sh,uei,3,水庫,,,ʂ,uəi
1863,胸,胸,x,ion,1,胸口,,,ɕ,iɔŋ
1864,鄰,邻,l,ien,2,鄰居,,,l,iəŋ
1865,偶,偶,ng,eu,3,偶然,,,ŋ,əɯ
1866,擠,挤,j,i,3,擁擠,,,tɕ,i
1867,棄,弃,q,i,5,放棄,,,tɕʰ,i
1868,鞏,巩,g,on,3,鞏固,,,k,ɔŋ
1869,鋪,铺,p,v,1,鋪設,,,pʰ,ʋ
1870,鋪,铺,p,v,5,店鋪,,,pʰ,ʋ
1871,乳,乳,r,v,3,乳汁,,,ɻ,ʋ
1872,乳,乳,l,v,3,,異讀,,l,ʋ
1873,槽,槽,c,o,2,水槽,,,tsʰ,ɔ
1874,鬆,松,s,on,1,放鬆,,,s,ɔŋ
1875,仁,仁,r,en,2,仁慈,,,ɻ,əŋ
1876,吉,吉,j,ieh,7,吉利,,,tɕ,iəʔ
1877,鄧,邓,t,en,6,姓氏,,,tʰ,əŋ
1878,熔,熔,,ion,2,熔爐,,,,iɔŋ
1879,爛,烂,l,aen,6,燦爛,,,l,ɛ̃
1880,磚,砖,zh,un,1,磚塊,,,tʂ,ʊ̃
1881,租,租,z,v,1,租房,,,ts,ʋ
1882,簽,签,q,in,1,簽約,,,tɕʰ,ĩ
1883,烏,乌,v,v,1,烏青,,,ʋ,ʋ
1884,艦,舰,k,aen,3,艦隊,,,kʰ,ɛ̃
1885,伴,伴,p,un,6,做伴,,,pʰ,ʊ̃
1886,瓜,瓜,g,ua,1,西瓜,,,k,ua
1887,丙,丙,b,ien,3,甲乙丙丁,,,p,iəŋ
1888,暫,暂,c,aen,6,暫時,,,tsʰ,ɛ̃
1889,燥,燥,c,o,5,乾燥,,,tsʰ,ɔ
1890,燥,燥,s,o,5,切成細碎的肉,,,s,ɔ
1891,譜,谱,p,v,3,菜譜,,,pʰ,ʋ
1892,譜,谱,b,v,3,,又音,,p,ʋ
1893,橡,橡,q,ian,6,橡樹,,,tɕʰ,iaŋ
1894,暖,暖,n,un,3,暖和,,,n,ʊ̃
1895,柳,柳,l,ieu,3,柳樹,,,l,iəɯ
1896,牌,牌,p,ae,2,打牌,,,pʰ,ɛ
1897,秧,秧,,ian,1,蒔秧,,,,iaŋ
1898,縴,纤,q,in,1,縴夫，縴繩,,,tɕʰ,ĩ
1899,迷,迷,m,i,2,迷戀,,,m,i
1900,膽,胆,d,aen,3,膽量,,,t,ɛ̃
1901,詳,详,q,ian,2,詳細,,,tɕʰ,iaŋ
1902,簧,簧,h,uan,2,彈簧,,,x,uaŋ
1903,踏,踏,t,aeh,8,踏青,,,tʰ,ɛʔ
1904,呆,呆,d,ae,1,呆子,,,t,ɛ
1905,呆,呆,ng,ae,2,呆板,,,ŋ,ɛ
1906,瓷,瓷,c,z,2,瓷器,,,tsʰ,ɿ
1907,賓,宾,b,ien,1,賓客,,,p,iəŋ
1908,洛,洛,l,ah,8,洛陽,,,l,aʔ
1909,糊,糊,h,v,2,糊塗,,,x,ʋ
1910,糊,糊,h,v,6,碎末,,,x,ʋ
1911,憤,愤,f,en,6,憤怒,,,f,əŋ
1912,競,竞,q,ien,6,競爭,,,tɕʰ,iəŋ
1913,隙,隙,q,ieh,7,縫隙,,,tɕʰ,iəʔ
1914,怒,怒,n,v,6,憤怒,,,n,ʋ
1915,粘,粘,n,in,2,粘性,,,n,ĩ
1916,乃,乃,n,ae,3,乃翁,,,n,ɛ
1917,緒,绪,q,y,6,頭緒,,,tɕʰ,y
1918,肩,肩,j,in,1,肩膀,,,tɕ,ĩ
1919,籍,籍,q,ieh,8,籍貫,,,tɕʰ,iəʔ
1920,輝,辉,h,uei,1,光輝,,,x,uəi
1921,敏,敏,m,ien,3,敏感,,,m,iəŋ
1922,熙,熙,x,i,1,康熙,,,ɕ,i
1923,皆,皆,g,ae,1,皆大歡喜,白讀,,k,ɛ
1924,皆,皆,j,iae,1,,文讀,,tɕ,iɛ
1925,桿,杆,g,un,3,筆桿,,,k,ʊ̃
1926,偵,侦,zh,en,1,偵探,,,tʂ,əŋ
1927,懸,悬,x,iun,2,懸挂,,,ɕ,iʊ̃
1928,掘,掘,q,yeh,8,挖掘,,,tɕʰ,yəʔ
1929,掘,掘,q,iuh,8,掘港,,,tɕʰ,iʊ?
1930,享,享,x,ian,3,享受,,,ɕ,iaŋ
1931,糾,纠,j,ieu,1,糾紛,,,tɕ,iəɯ
1932,醒,醒,x,ien,3,清醒,,,ɕ,iəŋ
1933,狂,狂,k,uan,2,瘋狂,,,kʰ,uaŋ
1934,鎖,锁,s,u,3,封鎖,,,s,ʊ
1935,恨,恨,h,en,6,仇恨,,,x,əŋ
1936,牲,牲,sh,en,1,牲口,,,ʂ,əŋ
1937,霸,霸,b,a,5,霸王,,,p,a
1938,誌,志,zh,r,5,地方誌,,,tʂ,ʅ
1939,爬,爬,p,a,2,爬行,,,pʰ,a
1940,賞,赏,sh,an,3,觀賞,,,ʂ,aŋ
1941,玩,玩,v,aen,2,玩耍，玩笑,,,ʋ,ɛ̃
1942,玩,玩,,un,6,玩弄，玩意,,,,ʊ̃
1943,逆,逆,n,ieh,8,叛逆,,,n,iəʔ
1944,陵,陵,l,ien,2,陵墓,,,l,iəŋ
1945,祝,祝,zh,oh,7,祝賀,,,tʂ,ɔʔ
1946,浙,浙,zh,ih,7,浙江,,,tʂ,iʔ
1947,秒,秒,m,io,3,分秒,,,m,iɔ
1948,貌,貌,m,o,6,面貌,,,m,ɔ
1949,役,役,,yeh,8,勞役,,,,yəʔ
1950,彼,彼,b,i,3,彼此,,,p,i
1951,悉,悉,x,ieh,7,熟悉,,,ɕ,iəʔ
1952,冒,冒,m,o,6,感冒,,,m,ɔ
1953,冒,冒,m,oh,8,姓氏,,,m,ɔʔ
1954,鴨,鸭,ng,aeh,7,鴨子,,,ŋ,ɛʔ
1955,蠟,蜡,l,aeh,8,蠟筆,,,l,ɛʔ
1956,趨,趋,q,y,1,趨勢,,,tɕʰ,y
1957,塗,涂,t,v,2,塗料,,,tʰ,ʋ
1958,鳳,凤,f,on,6,鳳凰,,,f,ɔŋ
1959,晨,晨,ch,en,2,早晨,,,tʂʰ,əŋ
1960,輩,辈,b,ei,5,輩分,,,p,əi
1961,秩,秩,ch,eh,8,秩序,,,tʂʰ,əʔ
1962,卵,卵,l,un,3,殺雞取卵,,,l,ʊ̃
1963,署,署,sh,v,6,署名,,,ʂ,ʋ
1964,署,署,sh,v,5,,又音,,ʂ,ʋ
1965,署,署,sh,v,3,,又音,,ʂ,ʋ
1966,梯,梯,t,i,1,樓梯,,,tʰ,i
1967,梯,梯,t,uei,1,,又音,,tʰ,uəi
1968,梯,梯,t,y,1,,白讀,,tʰ,y
1969,炎,炎,,in,2,炎熱,,,,ĩ
1970,灘,滩,t,aen,1,沙灘,,,tʰ,ɛ̃
1971,篩,筛,sh,ae,1,篩子,,,ʂ,ɛ
1972,驅,驱,q,y,1,驅動,,,tɕʰ,y
1973,峽,峡,h,aeh,8,峽谷,白讀,,x,ɛʔ
1974,峽,峡,x,iaeh,8,,文讀,,ɕ,iɛʔ
1975,啥,啥,sh,a,2,什呢,,,ʂ,a
1976,壽,寿,sh,eu,6,壽命,,,ʂ,əɯ
1977,譯,译,,ieh,8,翻譯,,,,iəʔ
1978,浸,浸,j,ien,5,浸泡,,,tɕ,iəŋ
1979,浸,浸,q,ien,1,浸淫，浸潭,,,tɕʰ,iəŋ
1980,泉,泉,q,iun,2,泉水,,,tɕʰ,iʊ̃
1981,帽,帽,m,o,6,帽子,,,m,ɔ
1982,硅,硅,g,uei,1,,,化學元素,k,uəi
1983,遲,迟,ch,r,2,遲到,,,tʂʰ,ʅ
1984,疆,疆,j,ian,1,新疆,,,tɕ,iaŋ
1985,棋,棋,q,i,2,下棋,,,tɕʰ,i
1986,貸,贷,t,ae,6,貸款,,,tʰ,ɛ
1987,漏,漏,l,eu,6,漏洞,,,l,əɯ
1988,冠,冠,g,un,1,雞冠花,,,k,ʊ̃
1989,冠,冠,g,un,5,冠軍,,,k,ʊ̃
1990,嫩,嫩,n,en,6,嫩葉,,,n,əŋ
1991,稿,稿,g,o,3,草稿,,,k,ɔ
1992,脅,胁,x,ih,7,威脅,,,ɕ,iʔ
1993,芯,芯,x,ien,1,筆芯,,,ɕ,iəŋ
1994,牢,牢,l,o,2,坐牢,,,l,ɔ
1995,叛,叛,p,un,5,叛徒,,,pʰ,ʊ̃
1996,蝕,蚀,sh,eh,8,腐蝕,,,ʂ,əʔ
1997,奧,奥,ng,o,5,奧妙,,,ŋ,ɔ
1998,鳴,鸣,m,ien,2,鳴叫,,,m,iəŋ
1999,嶺,岭,l,ien,3,山嶺,,,l,iəŋ
2000,羊,羊,,ian,2,羊肉,,,,iaŋ
2001,憑,凭,p,ien,2,憑證,,,pʰ,iəŋ
2002,串,串,ch,un,5,串聯,,,tʂʰ,ʊ̃
2003,塘,塘,t,an,2,水塘,,,tʰ,aŋ
2004,繪,绘,h,uei,6,繪畫,,,x,uəi
2005,融,融,,ion,2,融化,,,,iɔŋ
2006,酵,酵,j,io,5,發酵,,,tɕ,iɔ
2007,酵,酵,g,o,5,酵條,,,k,ɔ
2008,盆,盆,p,en,2,臉盆,,,pʰ,əŋ
2009,錫,锡,x,ieh,7,,,金屬元素,ɕ,iəʔ
2010,廟,庙,m,io,6,寺廟,,,m,iɔ
2011,凍,冻,d,on,5,果凍,,,t,ɔŋ
2012,攝,摄,sh,ih,7,攝像,,,ʂ,iʔ
2013,攝,摄,n,ih,8,安定的,,,n,iʔ
2014,籌,筹,ch,eu,2,籌碼,,,tʂʰ,əɯ
2015,輔,辅,p,v,3,輔導,,,pʰ,ʋ
2016,襲,袭,q,ieh,8,襲擊,,,tɕʰ,iəʔ
2017,拒,拒,q,y,6,拒絕,,,tɕʰ,y
2018,筋,筋,j,ien,1,筋肉,,,tɕ,iəŋ
2019,僚,僚,l,io,2,官僚,,,l,iɔ
2020,旱,旱,h,un,6,抗旱,,,x,ʊ̃
2021,鉀,钾,j,iaeh,7,,,金屬元素,tɕ,iɛʔ
2022,漆,漆,q,ieh,7,漆黑,,,tɕʰ,iəʔ
2023,鳥,鸟,n,io,3,飛鳥,,,n,iɔ
2024,眉,眉,m,i,2,眉毛,,,m,i
2025,添,添,t,in,1,添加,,,tʰ,ĩ
2026,疏,疏,sh,v,1,疏遠,,,ʂ,ʋ
2027,疏,疏,sh,v,5,註疏,,,ʂ,ʋ
2028,棒,棒,p,an,6,木棒,,,pʰ,aŋ
2029,穗,穗,c,uei,6,麥穗,文讀,,tsʰ,uəi
2030,穗,穗,q,y,6,,白讀,,tɕʰ,y
2031,埋,埋,m,ae,2,埋沒,,,m,ɛ
2032,硝,硝,x,io,1,硝酸,,,ɕ,iɔ
2033,韓,韩,h,un,2,韓國,,,x,ʊ̃
2034,僑,侨,q,io,2,僑民,,,tɕʰ,iɔ
2035,扭,扭,n,ieu,3,扭打,,,n,iəɯ
2036,逼,逼,b,ieh,7,威逼,,,p,iəʔ
2037,挺,挺,t,ien,3,挺屍,,,tʰ,iəŋ
2038,涼,凉,l,ian,2,涼快,,,l,iaŋ
2039,涼,凉,l,ian,6,輔佐,,,l,iaŋ
2040,栽,栽,z,ae,1,栽種,,,ts,ɛ
2041,碗,碗,,un,3,飯碗,,,,ʊ̃
2042,炒,炒,ch,o,3,炒飯,,,tʂʰ,ɔ
2043,杯,杯,b,ei,1,茶杯,,,p,əi
2044,勸,劝,q,iun,5,勸告,,,tɕʰ,iʊ̃
2045,患,患,h,uaen,6,患者,,,x,uɛ̃
2046,贊,赞,z,aen,5,贊成,,,ts,ɛ̃
2047,餾,馏,l,ieu,2,蒸餾,,,l,iəɯ
2048,豪,豪,h,o,2,英豪,,,x,ɔ
2049,遼,辽,l,io,2,遼寧,,,l,iɔ
2050,勃,勃,p,eh,8,蓬勃,,,pʰ,əʔ
2051,鴻,鸿,h,on,2,鴻門宴,,,x,ɔŋ
2052,吏,吏,l,i,6,官吏,,,l,i
2053,旦,旦,d,aen,5,元旦,,,t,ɛ̃
2054,拜,拜,b,ae,5,拜年,,,p,ɛ
2055,狗,狗,g,eu,3,狗肉,,,k,əɯ
2056,輥,辊,g,uen,3,滾動的圓柱形機件,,,k,uəŋ
2057,掩,掩,,in,3,掩蓋,,,,ĩ
2058,飲,饮,,ien,3,飲料,,,,iəŋ
2059,飲,饮,,ien,5,飲馬,,,,iəŋ
2060,搬,搬,b,un,1,搬家,,,p,ʊ̃
2061,罵,骂,m,a,6,罵架,,,m,a
2062,勾,勾,g,eu,1,勾結,,,k,əɯ
2063,勾,勾,g,eu,5,探取,,,k,əɯ
2064,辭,辞,c,z,2,辭典,,,tsʰ,ɿ
2065,扣,扣,k,eu,5,扣款，動詞,,,kʰ,əɯ
2066,扣,扣,k,eu,1,結扣，名詞,,,kʰ,əɯ
2067,丈,丈,ch,an,6,丈人,,,tʂʰ,aŋ
2068,估,估,g,v,3,估計,,,k,ʋ
2069,絨,绒,r,on,2,絨毛,,,ɻ,ɔŋ
2070,蔣,蒋,j,ian,3,蔣介石,,,tɕ,iaŋ
2071,蔣,蒋,j,ian,1,菰蔣,,,tɕ,iaŋ
2072,霧,雾,v,v,5,濃霧,,,ʋ,ʋ
2073,霧,雾,v,v,6,,本音,,ʋ,ʋ
2074,麵,面,m,in,6,麵條,,,m,ĩ
2075,姆,姆,m,u,3,保姆,,,m,ʋ
2076,擬,拟,n,i,3,虛擬,,,n,i
2077,朵,朵,d,u,3,花朵,,,t,ʊ
2078,宇,宇,,y,3,宇宙,,,,y
2079,輯,辑,q,ieh,8,編輯,,,tɕʰ,iəʔ
2080,陝,陕,sh,in,3,陝西,,,ʂ,ĩ
2081,番,番,f,aen,1,番茄,,,f,ɛ̃
2082,番,番,p,un,1,番禺,,,pʰ,ʊ̃
2083,番,番,p,u,2,姓氏,,,pʰ,ʊ
2084,雕,雕,d,io,1,雕刻,,,t,iɔ
2085,償,偿,sh,an,2,賠償,,,ʂ,aŋ
2086,蓄,蓄,x,ioh,7,儲蓄,,,ɕ,iɔʔ
2087,剪,剪,j,in,3,剪刀,,,tɕ,ĩ
2088,崇,崇,ch,on,2,崇拜,,,tʂʰ,ɔŋ
2089,倡,倡,ch,an,5,提倡,,,tʂʰ,aŋ
2090,倡,倡,ch,an,1,倡優,,,tʂʰ,aŋ
2091,咬,咬,ng,o,3,咬合,,,ŋ,ɔ
2092,咬,咬,g,o,1,咬咬，鳥叫聲,,,k,ɔ
2093,廳,厅,t,ien,1,客廳,,,tʰ,iəŋ
2094,薯,薯,sh,v,6,紅薯,,,ʂ,ʋ
2095,薯,薯,sh,v,5,,又音,,ʂ,ʋ
2096,薯,薯,sh,v,3,,又音,,ʂ,ʋ
2097,駛,驶,sh,r,3,駕駛,,,ʂ,ʅ
2098,刷,刷,sh,uaeh,7,刷牙,,,ʂ,uɛʔ
2099,斥,斥,ch,eh,7,排斥,,,tʂʰ,əʔ
2100,賦,赋,f,v,5,天賦,,,f,ʋ
2101,奉,奉,f,on,6,奉獻,,,f,ɔŋ
2102,扇,扇,sh,in,5,扇子，名詞,,,ʂ,ĩ
2103,扇,扇,sh,in,1,扇風，動詞,,,ʂ,ĩ
2104,曼,曼,m,aen,6,曼谷,,,m,ɛ̃
2105,曼,曼,m,aen,2,曼胡,,,m,ɛ̃
2106,曼,曼,m,un,6,曼漶,,,m,ʊ̃
2107,沈,沈,sh,en,3,,,姓氏,ʂ,əŋ
2108,漫,漫,m,aen,6,,異讀,,m,ɛ̃
2109,漫,漫,m,un,6,水漫金山，漫山遍野，漫遊,,,m,ʊ̃
2110,澆,浇,j,io,1,澆水,,,tɕ,iɔ
2111,鈣,钙,g,ae,5,,,金屬元素,k,ɛ
2112,桃,桃,t,o,2,桃花,,,tʰ,ɔ
2113,仔,仔,z,z,3,仔細,,,ts,ɿ
2114,仔,仔,z,z,1,仔肩，擔負責任,,,ts,ɿ
2115,扶,扶,f,v,2,扶手,,,f,ʋ
2116,俗,俗,s,oh,8,民俗,,,s,ɔʔ
2117,返,返,f,aen,3,返回,,,f,ɛ̃
2118,虧,亏,k,uei,1,虧本,,,kʰ,uəi
2119,腔,腔,q,ian,1,口腔,,,tɕʰ,iaŋ
2120,鞋,鞋,h,ae,2,鞋子,,,x,ɛ
2121,叔,叔,sh,oh,7,叔伯,,,ʂ,ɔʔ
2122,悄,悄,q,io,1,悄悄,,,tɕʰ,iɔ
2123,悄,悄,q,io,3,悄然,,,tɕʰ,iɔ
2124,撞,撞,ch,uan,6,撞擊,,,tʂʰ,uaŋ
2125,框,框,k,uan,1,門框,,,kʰ,uaŋ
2126,覆,覆,f,v,5,覆蓋,,,f,ʋ
2127,覆,覆,f,oh,7,覆滅，傾覆，反覆,,,f,ɔʔ
2128,覆,覆,f,v,6,伏兵,,,f,ʋ
2129,週,周,zh,eu,1,週末,,,tʂ,əɯ
2130,騙,骗,p,in,5,欺騙,,,pʰ,ĩ
2131,勘,勘,k,un,5,勘查,,,kʰ,ʊ̃
2132,旺,旺,v,an,6,興旺,,,ʋ,aŋ
2133,沸,沸,f,ei,5,沸騰,,,f,əi
2134,孤,孤,g,v,1,孤單,,,k,ʋ
2135,黏,黏,n,in,2,黏性,,,n,ĩ
2136,吐,吐,t,v,3,吐痰,,,tʰ,ʋ
2137,吐,吐,t,v,5,嘔吐,,,tʰ,ʋ
2138,孟,孟,m,on,6,孟子,,,m,ɔŋ
2139,屈,屈,q,yeh,7,委屈,,,tɕʰ,yəʔ
2140,屈,屈,j,yeh,7,蒲屈,,,tɕ,yəʔ
2141,渠,渠,q,y,2,水渠,,,tɕʰ,y
2142,仰,仰,n,ian,3,,白讀,,n,iaŋ
2143,仰,仰,,ian,3,,文讀,,,iaŋ
2144,妙,妙,m,io,6,奧妙,,,m,iɔ
2145,惜,惜,x,ieh,7,可惜,,,ɕ,iəʔ
2146,疾,疾,q,ieh,8,疾病,,,tɕʰ,iəʔ
2147,辟,辟,p,ieh,7,辟穀，鞭辟入裡,,,pʰ,iəʔ
2148,辟,辟,b,ieh,7,復辟，辟召，辟書,,,p,iəʔ
2149,狠,狠,h,en,3,狠心,,,x,əŋ
2150,脹,胀,zh,an,5,脹氣,,,tʂ,aŋ
2151,諧,谐,x,iae,2,和諧,文讀,,ɕ,iɛ
2152,諧,谐,h,ae,2,,白讀,,x,ɛ
2153,拋,抛,p,o,1,拋棄,,,pʰ,ɔ
2154,喂,喂,v,ei,2,語氣詞,,,ʋ,əi
2155,霉,霉,m,ei,2,發霉,,,m,əi
2156,霉,霉,m,i,2,,又音,,m,i
2157,桑,桑,s,an,1,桑樹,,,s,aŋ
2158,哩,哩,l,i,3,英哩,,,l,i
2159,衰,衰,sh,uae,1,衰老,,,ʂ,uɛ
2160,衰,衰,c,uei,1,衰序，等衰,,,tsʰ,uəi
2161,嘛,嘛,m,a,2,喇嘛,,,m,a
2162,崗,岗,g,an,3,山崗,,,k,aŋ
2163,棱,棱,l,en,2,棱柱,,,l,əŋ
2164,滲,渗,sh,en,5,滲透,,,ʂ,əŋ
2165,盜,盗,t,o,6,盜版,,,tʰ,ɔ
2166,髒,脏,z,an,1,骯髒,,,ts,aŋ
2167,賴,赖,l,ae,6,無賴,,,l,ɛ
2168,甜,甜,t,in,2,甜品,,,tʰ,ĩ
2169,曹,曹,c,o,2,曹操,,,tsʰ,ɔ
2170,閱,阅,,iuh,8,閱覽,,,,iʊ?
2171,厲,厉,l,i,6,厲害,,,l,i
2172,肌,肌,j,i,1,肌膚,,,tɕ,i
2173,烴,烃,t,ien,1,化學物,,,tʰ,iəŋ
2174,巷,巷,h,an,6,巷子,,,x,aŋ
2175,毅,毅,,i,6,毅力,,,,i
2176,緯,纬,v,ei,3,經緯,,,ʋ,əi
2177,昨,昨,c,ah,8,昨兒,,,tsʰ,aʔ
2178,偽,伪,v,ei,3,偽裝,,,ʋ,əi
2179,煮,煮,zh,v,3,煮飯,,,tʂ,ʋ
2180,癥,症,zh,en,1,癥結,,,tʂ,əŋ
2181,搭,搭,d,aeh,7,搭車,,,t,ɛʔ
2182,釘,钉,d,ien,1,鐵釘,,,t,iəŋ
2183,釘,钉,d,ien,5,釘入,,,t,iəŋ
2184,莖,茎,j,ien,1,塊莖,,,tɕ,iəŋ
2185,籠,笼,l,on,2,鳥籠,,,l,ɔŋ
2186,籠,笼,l,on,3,籠罩,,,l,ɔŋ
2187,嘆,叹,t,aen,5,感嘆,,,tʰ,ɛ̃
2188,綸,纶,l,en,2,滌綸,,,l,əŋ
2189,綸,纶,g,uaen,1,綸巾,,,k,uɛ̃
2190,酷,酷,k,oh,7,殘酷,,,kʰ,ɔʔ
2191,鬍,胡,h,v,2,鬍鬚,,,x,ʋ
2192,偷,偷,t,eu,1,偷竊,,,tʰ,əɯ
2193,弓,弓,g,on,1,弓箭,,,k,ɔŋ
2194,錐,锥,zh,uei,1,錐子,,,tʂ,uəi
2195,恆,恒,h,en,2,永恆,,,x,əŋ
2196,遊,游,,ieu,2,遊戲,,,,iəɯ
2197,坑,坑,k,en,1,土坑,,,kʰ,əŋ
2198,鼻,鼻,p,ieh,8,鼻子,,,pʰ,iəʔ
2199,敘,叙,q,y,6,敘述,,,tɕʰ,y
2200,獄,狱,,ioh,8,監獄,,,,iɔʔ
2201,翼,翼,,ieh,8,機翼,,,,iəʔ
2202,絡,络,l,ah,8,活絡,,,l,aʔ
2203,湧,涌,,ion,3,,,,,iɔŋ
2204,罐,罐,g,un,5,罐頭,,,k,ʊ̃
2205,抑,抑,,ieh,7,抑制,,,,iəʔ
2206,棚,棚,p,on,2,涼棚,,,pʰ,ɔŋ
2207,膨,膨,p,on,2,膨脹,,,pʰ,ɔŋ
2208,寺,寺,c,z,6,寺廟,,,tsʰ,ɿ
